mso	嫁
mso	家
mso	稼
mso	豚
mso	豪
mso	逐
mt	刑
mt	型
mt	形
mt	研
mt	開
mtb	励
mtj	華
mua	潛
mv	喪
mv	畏
mvh	牙
mvh	芽
mvh	邪
mvh	雅
mvm	径
mvm	経
mvm	茎
mvm	軽
mvni	瓦
mvnm	互
mvs	朽
mw	価
mw	煙
mwa	会
mwa	絵
mwc	演
mwd	慄
mwf	標
mwf	漂
mwf	票
mwl	面
mwl	麺
mwv	腰
mwv	要
my	下
mym	征
mym	政
mym	正
mym	症
mym	証
myo	堤
myo	定
myo	提
myo	是
myo	綻
myo	題
n	弓
n	引
nao	像
nao	象
nau	免
nau	勉
nau	晩
nau	色
nau	艶
nau	逸
nbc	負
nbg	角
nbk	喚
nbk	換
nc	小
ncr	担
ncr	胆
nd	厚
nd	好
nd	子
nd	孔
nd	字
ndt	猛
nhe	及
nhe	吸
nhe	扱
nhe	級
nhs	携
ni	夕
ni	外
nib	勇
nib	湧
nib	痛
nib	踊
nib	通
nih	務
nih	柔
nih	矛
nih	霧
nii	多
nii	移
nin	予
nin	序
nin	野
nin	預
niq	傑
niq	瞬
niq	舞
niq	隣
nir	名
nir	銘
niu	宛
niu	怨
niu	腕
nj	迅
nkf	偽
nkf	為
nkq	健
nkq	建
nkq	鍵
nl	弔
nlh	弟
nlh	第
nmk	侯
nmk	候
nmk	喉
nn	了
nno	承
nno	蒸
no	久
no	吹
no	欠
no	炊
no	畝
no	軟
no	飲
nsp	急
nw	亀
nw	漁
nw	衡
nw	魚
nyo	婿
nyo	旋
nyo	礎
o	人
o	囚
oae	履
oae	復
oae	腹
oae	複
oae	覆
ob	内
ob	納
obg	確
obg	鶴
obo	肉
od	株
odi	付
odi	府
odi	符
odi	腐
odi	附
og	准
og	双
og	唯
og	堆
og	応
og	推
og	椎
og	準
og	焦
og	礁
og	稚
og	維
og	誰
og	進
og	隻
oh	入
oh	込
ohh	珍
ohh	診
ohs	作
ohs	搾
ohs	昨
ohs	詐
ohs	酢
ohv	旅
oii	令
oii	冷
oii	鈴
oii	零
oii	領
oii	齢
oin	今
oin	吟
oin	含
oin	念
oin	捻
oin	琴
oin	貪
oin	陰
oir	創
oj	午
oj	許
ojm	卸
ojm	御
oju	缶
oju	鉢
ok	枚
ok	矢
okr	痴
okr	知
olb	飾
oll	介
oll	界
olo	修
olo	悠
olo	条
om	丘
om	兵
om	岳
omb	倫
omb	論
omb	輪
omd	余
omd	叙
omd	塗
omd	徐
omd	斜
omd	途
omd	除
omg	全
omg	栓
omg	詮
omn	愉
omn	気
omn	汽
omn	癒
omn	諭
omn	輸
omo	倹
omo	剣
omo	検
omo	険
omo	験
omr	合
omr	塔
omr	拾
omr	搭
omr	答
omr	給
omv	喩
on	乞
on	乾
oog	勧
oog	座
oog	挫
oog	歓
oog	観
ooj	傘
ook	族
ooo	従
ooo	縦
ooo	衆
op	化
op	花
op	貨
op	靴
oq	年
orr	臨
ot	無
owy	悔
owy	梅
owy	海
owy	繁
p	傾
p	匁
p	叱
p	尼
p	心
p	恥
p	泥
p	芯
p	蛇
p	頃
p	𠮟
p	勺
pa	指
pa	旨
pa	旬
pa	殉
pa	脂
pa	詣
pd	他
pd	地
pd	施
pd	池
pfd	菊
ph	密
ph	必
ph	泌
ph	秘
ph	蜜
phh	傷
phh	易
phh	物
pi	勾
pi	的
pi	約
pi	酌
pi	釣
pim	均
pk	凝
pk	擬
pk	疑
pou	陶
pp	匂
pp	批
pp	昆
pp	比
pp	混
pp	皆
ppa	楷
ppa	諧
ppa	階
ppg	陛
pr	句
pr	拘
pr	敬
pr	警
pr	駒
pr	驚
pru	包
pru	抱
pru	泡
pru	砲
pru	胞
pru	飽
pt	世
pt	葉
pu	屯
pu	純
pu	鈍
pu	頓
puk	胸
q	手
q	掌
q	撃
qj	邦
qke	泰
qkk	奏
qkq	俸
qkq	奉
qkq	棒
qm	傲
qm	喫
qm	契
qm	潔
qmb	情
qmb	晴
qmb	清
qmb	精
qmb	請
qmb	青
qmb	静
qmc	債
qmc	漬
qmc	積
qmc	績
qmc	責
qmr	害
qmv	俵
qmv	表
qo	夫
qo	扶
qo	春
qo	替
r	口
r	和
r	問
r	回
r	如
rb	絹
rbc	円
rbc	員
rbc	損
rbc	韻
rd	保
rg	堂
rhr	侶
rhr	呂
rhr	宮
rhu	兄
rhu	党
rhu	呪
rhu	況
rhu	祝
rlb	常
rlr	官
rlr	棺
rlr	管
rlr	館
rr	器
rrd	操
rrd	燥
rrd	繰
rrd	藻
rrj	単
rrj	弾
rrj	禅
rrm	霊
rrr	品
rrs	顎
rrw	獣
rsh	別
rsh	拐
rsl	命
rvk	呉
rvk	娯
rvk	誤
rvp	民
rvp	眠
rye	仮
rye	暇
ryo	促
ryo	捉
ryo	足
ryw	図
s	凹
s	医
s	尿
s	幻
s	雪
sc	匹
sh	刀
sh	切
sh	初
sh	窃
sh	解
shi	刃
shi	忍
shi	認
shr	召
shr	招
shr	昭
shr	沼
shr	照
shr	紹
shr	詔
shr	超
shu	絶
sim	弱
sim	渋
sim	溺
sim	羽
sim	翌
sim	習
sim	翼
sj	声
sj	摂
sj	耳
sj	聞
sj	餌
sje	取
sje	趣
sk	君
sk	群
sk	郡
sl	塩
slb	刷
sle	堅
sle	報
sle	服
sle	緊
sle	腎
sle	賢
sli	卵
sll	姫
sll	臣
slm	濫
slm	監
slm	艦
slm	藍
slm	覧
slm	鑑
smb	婦
smb	帰
smb	掃
smb	漏
sme	侵
sme	寝
sme	浸
smf	尉
smf	慰
smg	屋
smg	握
smg	曜
smg	濯
smg	躍
smm	尋
smr	伺
smr	司
smr	嗣
smr	詞
smr	飼
smv	帳
smv	張
smv	脹
smv	長
so	尺
sq	那
sqf	篤
sqf	罵
sqf	馬
srj	壁
srj	璧
srj	癖
srj	避
srr	区
srr	枢
srr	欧
srr	殴
srr	駆
ss	巨
ss	拒
ss	距
ssr	局
stc	殿
su	危
su	厄
su	妃
su	己
su	忌
su	改
su	氾
su	犯
su	範
su	紀
su	記
su	起
su	配
syi	嘱
syi	属
syq	遅
t	鼻
ta	借
ta	惜
ta	措
ta	昔
ta	籍
ta	錯
tak	募
tak	墓
tak	幕
tak	慕
tak	暮
tak	模
tak	漠
tak	膜
tb	散
tb	繭
tbc	典
tbn	前
tbn	煎
tc	並
tc	供
tc	共
tc	基
tc	塞
tc	寒
tc	恭
tc	旗
tc	普
tc	期
tc	棋
tc	欺
tc	洪
tc	港
tc	益
tc	碁
tc	譜
tc	選
tce	暴
tce	爆
tco	僕
tco	撲
tctd	業
tcw	尊
tcw	猶
tcw	遵
tg	窯
tge	様
tgi	儀
tgi	犠
tgi	義
tgi	議
tgk	美
tgr	善
tgr	繕
tgr	膳
thb	備
thu	導
thu	道
thu	首
tis	臓
tis	蔵
tk	朕
tk	送
tlb	席
tlb	満
tlj	覇
tlj	革
tlm	僅
tlm	勤
tlm	謹
tlo	嘆
tlo	漢
tlo	難
tm	媒
tm	某
tm	甘
tm	紺
tm	謀
tmc	広
tmc	拡
tmc	横
tmc	鉱
tmc	黄
tmv	勘
tmv	堪
tmv	展
tmv	甚
toe	獲
toe	穫
toe	護
tpo	墜
tpo	遂
tpo	隊
tq	差
tq	洋
tq	祥
tq	羊
tq	羞
tq	詳
tq	鮮
trg	権
tt	丼
tt	井
tt	併
tt	塀
tt	瓶
tt	耕
tt	餅
ttb	構
ttb	溝
ttb	講
ttb	購
tu	塑
tu	逆
tu	遡
tvi	慈
tvi	滋
tvi	磁
tw	描
tw	曲
tw	曹
tw	槽
tw	猫
tw	苗
tw	遭
twb	夢
twb	栃
twt	体
twt	礼
twt	豊
twv	濃
twv	農
txc	兼
txc	嫌
txc	廉
txc	謙
txc	鎌
u	仙
u	凶
u	山
u	幽
u	札
ug	届
umb	端
umg	徴
umg	懲
umu	微
uog	催
uu	出
uu	堀
uu	屈
uu	拙
uu	掘
uu	窟
v	女
ve	努
ve	奴
ve	怒
vi	変
vi	幼
vi	恋
vi	湾
vi	蛮
vid	楽
vid	薬
vie	後
vif	糸
vif	素
vif	索
vif	累
vif	羅
vio	以
vio	似
vit	関
vl	収
vl	叫
vl	擁
vmg	荘
vmg	装
vmi	奨
vmi	将
vn	彙
vne	剝
vne	緑
vne	録
vnp	縁
vv	巡
vv	巣
vv	悩
vv	拶
vv	災
vv	猟
vv	脳
vvi	継
w	田
w	畑
w	細
w	胃
w	雷
wc	四
wd	果
wd	菓
wd	裸
wd	課
wg	厘
wg	埋
wg	墨
wg	理
wg	童
wg	里
wgf	黒
wgf	黙
wjc	実
wjc	慣
wjc	貫
wl	岬
wl	押
wl	甲
wlb	万
wlb	偶
wlb	愚
wlb	遇
wlb	隅
wli	濁
wli	独
wli	触
wlj	択
wlj	沢
wlj	訳
wlj	釈
wlj	駅
wlv	環
wlv	還
wp	思
wtc	異
wu	電
www	塁
wxu	縄
wyi	侮
wyi	敏
wyi	母
wyi	毎
wyi	毒
y	朴
y	訃
y	赴
yaj	卓
yaj	悼
ybb	帝
ybb	締
ybb	諦
ybc	偵
ybc	貞
ybk	徹
ybk	撤
ybp	滝
ybp	竜
ybp	籠
ybp	襲
yc	六
ycb	商
ycb	嫡
ycb	摘
ycb	敵
ycb	滴
ycb	適
yck	交
yck	効
yck	校
yck	絞
yck	較
yck	郊
yf	叔
yf	寂
yf	淑
yf	督
yfd	謎
yg	主
yg	住
yg	往
yg	柱
yg	注
yg	駐
yh	産
yhd	遊
yhh	顔
yhn	坑
yhn	抗
yhn	航
yhs	倣
