cru,税,ゼイ,[ぜい]金,税
cru,脱,ダツ、ぬ-ぐ、ぬ-げる,[ぬぐ],脱ぐ
cru,説,セツ、（ゼイ）、と-く,[せつ]明,説
cru,鋭,エイ、するど-い,[するどい],鋭い
cru,閲,エツ,[えつ]覧,閲
csh ,分,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ,[ぶん]割,分
csh,盆,ボン,お[ぼん]休み,盆
csh,粉,フン、こ、こな,[こな],粉
csh,紛,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい,[まぎれる],紛れる
csh,貧,ヒン、ビン、まず-しい,[まずしい],貧しい
csh,雰,フン,[ふん]囲氣,雰
csh,頒,ハン,[はん]布,頒
cwa ,曽,ソウ、（ゾ）,未[ぞ]有,曽
cwa,僧,ソウ,[そう]侶,僧
cwa,増,ゾウ、ま-す、ふ-える、ふ-やす,[ふえる],増える
cwa,層,ソウ,階[そう],層
cwa,憎,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,[にくむ],憎む
cwa,贈,ゾウ、（ソウ）、おく-る,[おくり]もの,贈り
d ,木,ボク、モク、き、（こ）,[もく]造,木
d,休,キュウ、やす-む、やす-まる、やす-める,[やすむ],休む
d,困,コン、こま-る,[こまる],困る
d,床,ショウ、とこ、ゆか,[ゆか],床
d,林,リン、はやし,[はやし],林
d,森,シン、もり,大[もり]海岸,森
d,茶,チャ、サ,[ちゃ]色,茶
d,閑,カン,[かん]散期,閑
d,集,シュウ、あつ-まる、あつ-める、つど-う,[あつめる],集める
db,刺,シ、さ-す、さ-さる,[さし]身,刺
db,策,サク,解決[さく],策
dbu ,相,ソウ、ショウ、あい,[そう]談,相
dbu,想,ソウ、（ソ）,[そう]像,想
dbu,箱,はこ,[はこ],箱
dbu,霜,ソウ、しも,[しも]やけ,霜
dd,鬱,ウツ,憂[うつ],鬱
ddf ,禁,キン,[きん]止,禁
ddf,襟,キン、えり,[えり],襟
dh ,才,サイ,[さい]能,才
dh,材,ザイ,[ざい]料,材
dh,財,ザイ、（サイ）,[ざい]産,財
dh,閉,ヘイ、と-じる、と-ざす、し-める、し-まる,[とじる],閉じる
dhe ,皮,ヒ、かわ,[ひ]肉,皮
dhe,婆,バ,老[ば],婆
dhe,彼,ヒ、かれ、（かの）,[ひ]岸,彼
dhe,披,ヒ,[ひ]露,披
dhe,波,ハ、なみ,[は]紋,波
dhe,疲,ヒ、つか-れる,[つかれる],疲れる
dhe,破,ハ、やぶ-る、やぶ-れる,[やぶる],破る
dhe,被,ヒ、こうむ-る,[ひ]害,被
di ,寸,スン,[すん]法,寸
di,奪,ダツ、うば-う,[うばう],奪う
di,守,シュ、（ス）、まも-る、も-り,[まもる],守る
di,対,タイ、ツイ,[たい]戦,対
di,封,フウ、ホウ,[ふう]筒,封
di,村,ソン、むら,[むら],村
di,狩,シュ、か-る、か-り,獣を[かる],狩る
di,耐,タイ、た-える,[たえる],耐える
di,肘,ひじ,[ひじ],肘
di,討,トウ、う-つ,[とう]論,討
di,転,テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ,[ころぶ],転ぶ
di,酎,チュウ,焼[ちゅう],酎
dj ,末,マツ、バツ、すえ,期[まつ],末
dj,抹,マツ,一[まつ],抹
dk,快,カイ、こころよ-い,[こころよい],快い
dk,決,ケツ、き-める、き-まる,[きめる],決める
dl ,束,ソク、たば,[たば],束
dl,勅,チョク,[ちょく]令,勅
dl,整,セイ、ととの-える、ととの-う,[ととのえる],整える
dl,瀬,せ,浅[せ],瀬
dl,疎,ソ、うと-い、うと-む,[そ]外感,疎
dl,速,ソク、はや-い、はや-める、はや-まる、すみ-やか,[すみやか],速やか
dl,頼,ライ、たの-む、たの-もしい、たよ-る,[たのむ],頼む
dm ,本,ホン、もと,[ほん]末転倒,本
dm,奔,ホン,[ほん]走,奔
dmf,隷,レイ,奴[れい],隷
dmq,偉,イ、えら-い,[えらい],偉い
dmq,囲,イ、かこ-む、かこ-う,[かこむ],囲む
dmq,緯,イ,[い]線,緯
dmq,衛,エイ,防[えい],衛
dmq,違,イ、ちが-う、ちが-える,[ちがう],違う
dmq,韓,カン,[かん]国,韓
doe,漆,シツ、うるし,[うるし],漆
doe,膝,ひざ,[ひざ],膝
doo,来,ライ、く-る、きた-る、きた-す,[くる],来る
doo,麦,バク、むぎ,[むぎ],麦
dw ,東,トウ、ひがし,[ひがし],東
dw,凍,トウ、こお-る、こご-える,[こおる],凍る
dw,棟,トウ、むね、（むな）,病[とう],棟
dw,欄,ラン,記入[らん],欄
dw,陳,チン,[ちん]述,陳
dwf,練,レン、ね-る,[れん]習,練
dwf,錬,レン,鍛[れん],錬
e,又,また,風の[また]三郎,又
e,水,スイ、みず,[みず],水
ea,踏,トウ、ふ-む、ふ-まえる,[ふむ],踏む
eee,桑,ソウ、くわ,[くわ],桑
eg,怪,カイ、あや-しい、あや-しむ,[かい]物,怪
eii,騒,ソウ、さわ-ぐ,[さわぐ],騒ぐ
f ,火,カ、ひ、（ほ）,[か]災,火
f,灰,カイ、はい,[はい]色,灰
f,炭,タン、すみ,[すみ]火,炭
f,煩,ハン、（ボン）、わずら-う、わずら-わす,[わずらわしい],煩わしい
fb ,肖,ショウ,不[しょう],肖
fb,削,サク、けず-る,[けずる],削る
fb,宵,ショウ、よい,[よい]の口,宵
fb,消,ショウ、き-える、け-す,[きえる],消える
fb,硝,ショウ,[しょう]酸,硝
fbc ,賞,ショウ,参加[しょう],賞
fbc,償,ショウ、つぐな-う,[つぐなう],償う
fbc,鎖,サ、くさり,[くさり],鎖
fbk,幣,ヘイ,貨[へい],幣
fbk,弊,ヘイ,[へい]社,弊
fbk,蔽,ヘイ,遮[へい],蔽
fbr,尚,ショウ,高[しょう]な議論,尚
fc,脊,セキ,[せき]椎,脊
fd ,米,ベイ、マイ、こめ,[こめ],米
fd,粛,シュク,自[しゅく],粛
fd,謎,なぞ,[なぞ],謎
fd,迷,メイ、まよ-う,[まよう],迷う
fdk,類,ルイ、たぐ-い,[たぐい],類
ff,労,ロウ,苦[ろう],労
ff,営,エイ、いとな-む,[いとなむ],営む
ff,栄,エイ、さか-える、は-え、は-える,[さかえる],栄える
ff,蛍,ケイ、ほたる,[ほたる],蛍
ff1 ,炎,エン、ほのお,[ほのお],炎
ff1,淡,タン、あわ-い,[あわい],淡
ff1,談,ダン,[だん]話,談
fh ,少,ショウ、すく-ない、すこ-し,[すくない],少ない
fh,劣,レツ、おと-る,[おとる],劣る
fh,妙,ミョウ,奇[みょう],妙
fh,抄,ショウ,[しょう]読,抄
fh,沙,サ,[さ]汰,沙
fh,渉,ショウ,交[しょう],渉
fh,省,セイ、ショウ、かえり-みる、はぶ-く,[はぶく],省く
fh,砂,サ、シャ、すな,[すな],砂
fh,秒,ビョウ,[びょう]速,秒
fhf,隙,ゲキ、すき,間[げき],隙
fk,咲,さ-く,花が[さく],咲
fmu,光,コウ、ひか-る、ひかり,[ひかり],光
fq ,半,ハン、なか-ば,[なかば],半ば
fq,伴,ハン、バン、ともな-う,[ともなう],伴う
fq,判,ハン、バン,小[ばん],判
fq,勝,ショウ、か-つ、まさ-る,殊[しょう]な心がけ,勝
fq,畔,ハン,湖[はん],畔
fq1,券,ケン,[けん]売機,券
fq1,圏,ケン,大気[けん],圏
fq1,巻,カン、ま-く、まき,[まく],巻く
fq1,拳,ケン、こぶし,[],拳
fq1,藤,トウ、ふじ,[],藤
fq1,謄,トウ,[],謄
fq1,騰,トウ,[],騰
g ,土,ド、ト、つち,[],土
g,仕,シ、（ジ）、つか-える,[],仕
g,吐,ト、は-く,[],吐
g,壮,ソウ,[],壮
g,壱,イチ,[],壱
g,社,シャ、やしろ,[],社
gbd,勃,ボツ,[],勃
gbu,殻,カク、から,[],殻
gce,陵,リョウ、みささぎ,[],陵
gcg,勢,セイ、いきお-い,[],勢
gcg,熱,ネツ、あつ-い,[],熱
gcg,睦,ボク,[],睦
gcg,芸,ゲイ,[],芸
gcg,陸,リク,[],陸
gd,穀,コク,[],穀
gdi ,寺,ジ、てら,[],寺
gdi,侍,ジ、さむらい,[],侍
gdi,待,タイ、ま-つ,[],待
gdi,持,ジ、も-つ,[],持
gdi,時,ジ、とき,[],時
gdi,特,トク,[],特
gdi,等,トウ、ひと-しい,[],等
gdi,詩,シ,[],詩
gg,佳,カ,[],佳
gg,崖,ガイ、がけ,[],崖
gg,掛,か-ける、か-かる、かかり,[],掛
gg,涯,ガイ,[],涯
gg,街,ガイ、（カイ）、まち,[],街
ggu,暁,ギョウ、あかつき,[],暁
ggu,焼,ショウ、や-く、や-ける,[],焼
gi ,去,キョ、コ、さ-る,[],去
gi,法,ホウ、（ハッ）、（ホッ）,[],法
gi,蓋,ガイ、ふた,[],蓋
glc ,赤,セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる,[],赤
glc,嚇,カク,[],嚇
glc,赦,シャ,[],赦
gmf,款,カン,[],款
gni,寿,ジュ、ことぶき,[],寿
gni,鋳,チュウ、い-る,[],鋳
gp ,志,シ、こころざ-す、こころざし,[],志
gp,誌,シ,[],誌
gr ,吉,キチ、キツ,[],吉
gr,喜,キ、よろこ-ぶ,[],喜
gr,結,ケツ、むす-ぶ、ゆ-う、ゆ-わえる,[],結
gr,詰,キツ、つ-める、つ-まる、つ-む,[],詰
grt,樹,ジュ,[],樹
grt,膨,ボウ、ふく-らむ、ふく-れる,[],膨
grt,鼓,コ、つづみ,[],鼓
grv,園,エン、その,[],園
grv,猿,エン、さる,[],猿
grv,遠,エン、（オン）、とお-い,[],遠
gtj ,幸,コウ、さいわ-い、さち、しあわ-せ,[],幸
gtj,執,シツ、シュウ、と-る,[],執
gtj,宰,サイ,[],宰
gtj,摯,シ,[],摯
gwc,続,ゾク、つづ-く、つづ-ける,[],続
gwc,読,ドク、トク、（トウ）、よ-む,[],読
gyo ,走,ソウ、はし-る,[],走
gyo,徒,ト,[],徒
h,竹,チク、たけ,[],竹
ha ,白,ハク、ビャク、しろ、（しら）、しろ-い,[],白
ha,伯,ハク,[],伯
